DAUID,Pop2016,Density,AgeTot,0_14%,15_64%,65over%,AvgHouseSize,OffLangTot,OffLangNo,OffLangNo%,LangTot,LangChinese,LangChi%,AvgDwellVal,AvgRent
24660001,657,2047.4,655,15.3,63.4,22.1,2.3,590,5,0.85,605,0,0.00,392489,916
24660002,534,5004.7,535,15.9,72.9,12.1,2.8,520,5,0.96,465,0,0.00,314872,889
24660003,303,5058.4,305,13.1,68.9,14.8,2.4,305,0,0.00,335,0,0.00,352839,834
24660004,283,3438.6,280,12.5,75,16.1,2.4,285,5,1.75,285,0,0.00,302447,0
24660005,235,3742,235,14.9,72.3,12.8,2.6,235,0,0.00,225,0,0.00,347969,0
24660006,411,5415,415,13.3,73.5,10.8,2.1,410,0,0.00,355,0,0.00,323558,682
24660007,677,3336.6,680,17.6,69.1,12.5,2.4,680,0,0.00,740,0,0.00,258055,717
24660008,534,4464.9,535,13.1,72,15,2.6,525,0,0.00,490,0,0.00,273951,718
24660009,245,4909.8,245,8.2,75.5,16.3,2.3,245,0,0.00,290,0,0.00,313561,0
24660010,659,3254.3,660,9.1,55.3,35.6,2.1,615,5,0.81,490,0,0.00,317710,1081
24660011,644,3302.6,645,15.5,70.5,14,2.1,645,5,0.78,645,0,0.00,280930,808
24660012,821,1821.2,820,14.6,76.8,7.9,2.1,825,5,0.61,840,0,0.00,247081,693
24660013,481,5428.9,480,17.7,66.7,15.6,2.6,480,5,1.04,535,10,1.87,298203,639
24660014,531,4686.7,530,19.8,65.1,15.1,2.7,530,5,0.94,590,0,0.00,253367,771
24660015,432,16000,430,16.3,77.9,7,1.9,435,0,0.00,430,0,0.00,0,727
24660016,692,7638,690,13.8,75.4,11.6,2.2,695,0,0.00,690,0,0.00,240661,0
24660017,505,4391.3,505,11.9,72.3,15.8,1.8,505,0,0.00,585,0,0.00,282034,658
24660020,431,2240.1,430,9.3,68.6,22.1,2.3,430,0,0.00,405,0,0.00,293166,0
24660021,565,11277.4,565,30.1,61.1,8.8,2.8,565,5,0.88,545,0,0.00,408153,615
24660022,329,2906.4,330,12.1,57.6,28.8,2.5,330,0,0.00,320,0,0.00,280335,0
24660023,531,7629.3,535,14,73.8,11.2,2.1,530,0,0.00,510,0,0.00,283401,697
24660024,616,6532.3,615,13.8,70.7,15.4,2.5,575,5,0.87,570,20,3.51,235020,707
24660025,527,6474.2,530,16,68.9,14.2,2.3,490,0,0.00,540,10,1.85,347808,806
24660026,715,3172.1,715,4.9,24.5,70.6,1.9,630,0,0.00,250,0,0.00,0,449
24660027,568,4713.7,570,14.9,64.9,20.2,2.2,565,0,0.00,615,0,0.00,275693,755
24660028,338,5487,340,19.1,64.7,16.2,2.8,340,0,0.00,320,0,0.00,225171,0
24660029,387,7930.3,385,18.2,72.7,10.4,3,385,5,1.30,360,0,0.00,227423,0
24660030,1090,3590.3,1090,18.3,69.3,12.8,2.8,1070,10,0.93,1150,0,0.00,269803,674
24660031,508,6939.9,505,18.8,68.3,13.9,2.9,510,5,0.98,490,0,0.00,204478,0
